Sample Name,bismark.per.CpG.meth,bismark.per.CHG.meth,bismark.per.CHH.meth,bismark.total.Cs,bismark.per.dup.align,bismark.tot.dedup.align,bismark.tot.aligned,bismark.per.aligned,qualimap.per.mean.GC.content,qualimap.med.insert.size,qualimap.per.5x.cov,qualimap.per.10x.cov,qualimap.mean.cov,qualimap.per.mapped.reads,qualimap.tot.mapped.reads,qualimap.tot.reads,qualimap.align.err.rate,cutadapt.per.trimmed,fastqc.per.dup.reads,fastqc.avg.per.GC.content,fastqc.avg.length,fastqc.per.failed,fastqc.tot.seq,mean.map.eff,sterr.map.eff
1_R1_001,,,,,,,,,,,,,,,,,,7.20%,49.90%,23%,150 bp,9%,80.7,43.61%,0.013241686
1_R1_001_val_1,3.00%,1.00%,1.00%,503.8,53.20%,16.4,35,43.70%,20%,159,64.00%,42.70%,1.6X,100.00%,32.8,32.8,22.05%,,,,,,,,
1_R2_001,,,,,,,,,,,,,,,,,,7.20%,48.90%,24%,150 bp,27%,80.7,,
10_R1_001,,,,,,,,,,,,,,,,,,8.20%,48.70%,23%,150 bp,9%,71.6,,
10_R1_001_val_1,3.10%,1.00%,1.00%,458.9,52.30%,15.1,31.6,44.50%,20%,157,61.60%,38.60%,1.3X,100.00%,30.1,30.1,21.97%,,,,,,,,
10_R2_001,,,,,,,,,,,,,,,,,,8.20%,47.80%,25%,150 bp,27%,71.6,,
11_R1_001,,,,,,,,,,,,,,,,,,4.20%,43.90%,22%,150 bp,18%,47.3,,
11_R1_001_val_1,3.00%,1.00%,1.00%,336.6,46.50%,10.1,18.8,39.90%,20%,181,52.30%,23.60%,1.0X,100.00%,20.1,20.1,22.06%,,,,,,,,
11_R2_001,,,,,,,,,,,,,,,,,,4.40%,42.60%,23%,150 bp,27%,47.3,,
12_R1_001,,,,,,,,,,,,,,,,,,8.10%,50.50%,23%,150 bp,18%,89.7,,
12_R1_001_val_1,3.00%,1.00%,1.00%,549.4,54.10%,18.4,40,44.90%,20%,152,65.80%,46.80%,1.8X,100.00%,36.7,36.7,22.01%,,,,,,,,
12_R2_001,,,,,,,,,,,,,,,,,,8.10%,50.10%,24%,150 bp,36%,89.7,,
13_R1_001,,,,,,,,,,,,,,,,,,7.20%,60.70%,22%,150 bp,18%,78.5,,
13_R1_001_val_1,3.10%,1.00%,1.00%,352,64.30%,11.8,33,42.30%,20%,153,55.40%,28.60%,0.9X,100.00%,23.5,23.5,22.17%,,,,,,,,
13_R2_001,,,,,,,,,,,,,,,,,,7.30%,59.70%,24%,150 bp,36%,78.5,,
14_R1_001,,,,,,,,,,,,,,,,,,10.60%,34.20%,24%,150 bp,9%,59.8,,
14_R1_001_val_1,3.00%,1.00%,1.10%,478.9,35.90%,17.1,26.7,45.00%,21%,139,62.70%,42.30%,1.5X,100.00%,34.3,34.3,22.04%,,,,,,,,
14_R2_001,,,,,,,,,,,,,,,,,,10.50%,34.60%,26%,150 bp,27%,59.8,,
15_R1_001,,,,,,,,,,,,,,,,,,6.40%,50.30%,23%,150 bp,18%,69.3,,
15_R1_001_val_1,3.00%,1.00%,1.00%,416.7,53.90%,13.6,29.5,42.80%,20%,159,59.50%,35.20%,1.1X,100.00%,27.2,27.2,22.02%,,,,,,,,
15_R2_001,,,,,,,,,,,,,,,,,,6.60%,49.60%,24%,150 bp,27%,69.3,,
16_R1_001,,,,,,,,,,,,,,,,,,8.10%,64.60%,22%,150 bp,18%,55.4,,
16_R1_001_val_1,3.10%,1.00%,1.00%,214.3,70.10%,7.6,25.3,46.00%,19%,138,37.50%,12.60%,0.5X,100.00%,15.1,15.1,22.56%,,,,,,,,
16_R2_001,,,,,,,,,,,,,,,,,,8.10%,61.70%,23%,150 bp,36%,55.4,,
17_R1_001,,,,,,,,,,,,,,,,,,8.90%,42.00%,24%,150 bp,9%,58.4,,
17_R1_001_val_1,3.10%,1.00%,1.10%,439.5,45.60%,15.2,27.9,48.20%,21%,146,61.30%,39.00%,1.3X,100.00%,30.4,30.4,22.00%,,,,,,,,
17_R2_001,,,,,,,,,,,,,,,,,,8.90%,42.00%,25%,150 bp,27%,58.4,,
18_R1_001,,,,,,,,,,,,,,,,,,7.20%,50.60%,23%,150 bp,18%,54.9,,
18_R1_001_val_1,3.00%,1.00%,1.10%,350.6,55.20%,11.5,25.7,47.10%,20%,156,54.50%,28.00%,0.9X,100.00%,23,23,22.06%,,,,,,,,
18_R2_001,,,,,,,,,,,,,,,,,,7.40%,50.00%,24%,150 bp,36%,54.9,,
19_R1_001,,,,,,,,,,,,,,,,,,66.90%,25.00%,54%,150 bp,27%,61,,
19_R1_001_val_1,8.20%,8.60%,8.50%,7.9,28.40%,0.5,0.7,6.90%,26%,73,0.20%,0.00%,0.0X,100.00%,1,1,24.32%,,,,,,,,
19_R2_001,,,,,,,,,,,,,,,,,,66.40%,25.60%,53%,150 bp,36%,61,,
2_R1_001,,,,,,,,,,,,,,,,,,8.70%,81.20%,23%,150 bp,27%,65.9,,
2_R1_001_val_1,3.20%,1.20%,1.40%,93.8,87.20%,3.6,27.9,42.80%,20%,125,13.50%,2.30%,0.1X,100.00%,7.1,7.1,22.43%,,,,,,,,
2_R2_001,,,,,,,,,,,,,,,,,,8.70%,79.00%,24%,150 bp,36%,65.9,,
20_R1_001,,,,,,,,,,,,,,,,,,17.60%,37.40%,28%,150 bp,9%,55.3,,
20_R1_001_val_1,3.10%,1.10%,1.20%,403.5,40.00%,16.5,27.4,50.30%,21%,119,58.70%,37.50%,1.0X,100.00%,32.9,32.9,21.89%,,,,,,,,
20_R2_001,,,,,,,,,,,,,,,,,,17.30%,37.90%,29%,150 bp,36%,55.3,,
21_R1_001,,,,,,,,,,,,,,,,,,11.40%,50.50%,25%,150 bp,18%,112.3,,
21_R1_001_val_1,3.00%,1.00%,1.10%,680,54.60%,24.8,54.7,49.10%,20%,135,70.20%,55.80%,2.0X,100.00%,49.7,49.7,22.05%,,,,,,,,
21_R2_001,,,,,,,,,,,,,,,,,,11.20%,50.30%,26%,150 bp,36%,112.3,,
22_R1_001,,,,,,,,,,,,,,,,,,5.40%,57.30%,22%,150 bp,18%,69.7,,
22_R1_001_val_1,3.00%,1.00%,1.00%,378.6,62.10%,12.2,32.1,46.20%,20%,162,56.80%,30.80%,1.2X,100.00%,24.3,24.3,22.02%,,,,,,,,
22_R2_001,,,,,,,,,,,,,,,,,,5.60%,56.10%,23%,150 bp,36%,69.7,,
23_R1_001,,,,,,,,,,,,,,,,,,8.00%,46.50%,23%,150 bp,9%,63.7,,
23_R1_001_val_1,3.00%,1.00%,1.10%,450.4,50.40%,15.2,30.6,48.30%,21%,151,61.70%,39.30%,1.3X,100.00%,30.4,30.4,21.95%,,,,,,,,
23_R2_001,,,,,,,,,,,,,,,,,,8.10%,46.30%,25%,150 bp,27%,63.7,,
24_R1_001,,,,,,,,,,,,,,,,,,10.50%,36.70%,25%,150 bp,9%,49.1,,
24_R1_001_val_1,3.00%,1.00%,1.10%,398.4,39.30%,14.2,23.4,47.90%,21%,140,58.30%,35.20%,1.1X,100.00%,28.4,28.4,21.96%,,,,,,,,
24_R2_001,,,,,,,,,,,,,,,,,,10.40%,36.70%,26%,150 bp,27%,49.1,,
25_R1_001,,,,,,,,,,,,,,,,,,10.40%,41.10%,24%,150 bp,9%,69.6,,
25_R1_001_val_1,3.10%,0.90%,1.00%,537.6,43.90%,18.8,33.5,48.50%,21%,143,64.90%,46.10%,1.4X,100.00%,37.6,37.6,21.87%,,,,,,,,
25_R2_001,,,,,,,,,,,,,,,,,,10.40%,41.00%,26%,150 bp,27%,69.6,,
26_R1_001,,,,,,,,,,,,,,,,,,10.20%,35.90%,25%,150 bp,9%,55,,
26_R1_001_val_1,3.10%,1.00%,1.00%,464.5,37.50%,16.3,26.1,47.70%,21%,143,61.50%,40.50%,1.3X,100.00%,32.6,32.6,21.86%,,,,,,,,
26_R2_001,,,,,,,,,,,,,,,,,,10.10%,35.60%,25%,150 bp,27%,55,,
27_R1_001,,,,,,,,,,,,,,,,,,13.50%,43.90%,26%,150 bp,9%,113,,
27_R1_001_val_1,3.10%,1.00%,1.00%,792.7,45.40%,29.7,54.4,48.50%,21%,131,71.70%,58.90%,2.4X,100.00%,59.4,59.4,21.88%,,,,,,,,
27_R2_001,,,,,,,,,,,,,,,,,,13.30%,43.60%,27%,150 bp,27%,113,,
28_R1_001,,,,,,,,,,,,,,,,,,7.10%,48.50%,23%,150 bp,9%,85.1,,
28_R1_001_val_1,3.10%,1.00%,1.10%,568.8,52.50%,18.7,39.4,46.50%,21%,156,65.90%,47.20%,1.7X,100.00%,37.4,37.4,21.80%,,,,,,,,
28_R2_001,,,,,,,,,,,,,,,,,,7.20%,48.10%,24%,150 bp,27%,85.1,,
29_R1_001,,,,,,,,,,,,,,,,,,7.70%,43.10%,23%,150 bp,9%,70.3,,
29_R1_001_val_1,3.20%,1.00%,1.10%,526.2,46.20%,17.7,33,47.10%,21%,150,64.20%,44.70%,1.5X,100.00%,35.4,35.4,21.82%,,,,,,,,
29_R2_001,,,,,,,,,,,,,,,,,,7.80%,42.80%,24%,150 bp,27%,70.3,,
3_R1_001,,,,,,,,,,,,,,,,,,6.20%,37.70%,23%,150 bp,9%,54.8,,
3_R1_001_val_1,3.20%,1.00%,1.10%,460.9,39.80%,14.4,23.9,44.00%,21%,170,61.00%,37.90%,1.4X,100.00%,28.8,28.8,21.97%,,,,,,,,
3_R2_001,,,,,,,,,,,,,,,,,,6.30%,37.20%,24%,150 bp,27%,54.8,,
30_R1_001,,,,,,,,,,,,,,,,,,5.50%,53.70%,23%,150 bp,18%,56.9,,
30_R1_001_val_1,2.90%,1.00%,1.00%,347.5,58.10%,10.8,25.7,45.40%,20%,171,52.90%,25.50%,1.0X,100.00%,21.5,21.5,22.05%,,,,,,,,
30_R2_001,,,,,,,,,,,,,,,,,,5.70%,52.50%,24%,150 bp,36%,56.9,,
31_R1_001,,,,,,,,,,,,,,,,,,4.30%,61.90%,21%,150 bp,27%,97.3,,
31_R1_001_val_1,2.90%,0.80%,0.90%,462.9,60.90%,14.1,36,37.20%,20%,179,62.20%,37.80%,1.4X,100.00%,28.1,28.1,21.93%,,,,,,,,
31_R2_001,,,,,,,,,,,,,,,,,,4.50%,58.70%,23%,150 bp,36%,97.3,,
32_R1_001,,,,,,,,,,,,,,,,,,3.70%,50.80%,21%,150 bp,27%,106.9,,
32_R1_001_val_1,2.90%,0.80%,0.90%,675.2,47.70%,20,38.3,36.00%,20%,186,70.00%,53.40%,1.9X,100.00%,40.1,40.1,21.84%,,,,,,,,
32_R2_001,,,,,,,,,,,,,,,,,,4.00%,49.00%,22%,150 bp,27%,106.9,,
4_R1_001,,,,,,,,,,,,,,,,,,6.30%,51.80%,23%,150 bp,18%,71.6,,
4_R1_001_val_1,3.10%,1.00%,1.10%,446.7,56.30%,14,31.9,44.90%,21%,171,60.30%,36.30%,1.4X,100.00%,27.9,27.9,21.98%,,,,,,,,
4_R2_001,,,,,,,,,,,,,,,,,,6.40%,50.60%,24%,150 bp,36%,71.6,,
5_R1_001,,,,,,,,,,,,,,,,,,4.00%,64.30%,21%,150 bp,18%,75.7,,
5_R1_001_val_1,2.90%,1.00%,1.00%,316.7,68.10%,9.7,30.4,40.30%,20%,174,50.20%,21.90%,1.1X,100.00%,19.4,19.4,22.15%,,,,,,,,
5_R2_001,,,,,,,,,,,,,,,,,,4.20%,62.10%,23%,150 bp,36%,75.7,,
6_R1_001,,,,,,,,,,,,,,,,,,6.40%,41.90%,23%,150 bp,9%,41.8,,
6_R1_001_val_1,3.00%,1.00%,1.00%,319.8,44.60%,10,18.1,43.70%,20%,168,50.70%,22.80%,1.0X,100.00%,20.1,20.1,22.02%,,,,,,,,
6_R2_001,,,,,,,,,,,,,,,,,,6.50%,41.40%,24%,150 bp,27%,41.8,,
7_R1_001,,,,,,,,,,,,,,,,,,6.60%,46.50%,23%,150 bp,9%,67.8,,
7_R1_001_val_1,3.00%,0.90%,1.00%,469.8,48.80%,15,29.3,43.40%,20%,165,62.00%,39.40%,1.3X,100.00%,29.9,29.9,21.89%,,,,,,,,
7_R2_001,,,,,,,,,,,,,,,,,,6.70%,45.60%,24%,150 bp,27%,67.8,,
8_R1_001,,,,,,,,,,,,,,,,,,5.70%,53.40%,22%,150 bp,27%,66.4,,
8_R1_001_val_1,3.00%,1.00%,1.00%,374,56.80%,11.7,27.2,41.10%,20%,170,55.90%,29.00%,1.3X,100.00%,23.4,23.4,21.97%,,,,,,,,
8_R2_001,,,,,,,,,,,,,,,,,,5.90%,52.40%,24%,150 bp,36%,66.4,,
9_R1_001,,,,,,,,,,,,,,,,,,7.70%,53.60%,23%,150 bp,18%,69.5,,
9_R1_001_val_1,3.10%,0.90%,1.00%,400,58.10%,13.1,31.4,45.40%,20%,157,58.00%,33.30%,1.1X,100.00%,26.3,26.3,22.00%,,,,,,,,
9_R2_001,,,,,,,,,,,,,,,,,,7.70%,52.50%,24%,150 bp,36%,69.5,,