fragment.ID,treatment,block,sample_id,species_id
PV_17,control,5,C17,Pocillopora meandrina
PV_18,control,5,C18,Pocillopora meandrina
PV_19,control,5,C19,Pocillopora meandrina
PV_20,control,5,C20,Pocillopora meandrina
PV_21,control,6,C21,Pocillopora meandrina
PV_22,control,6,C22,Pocillopora meandrina
PV_23,control,6,C23,Pocillopora meandrina
PV_24,control,6,C24,Pocillopora meandrina
PV_25,control,7,C25,Pocillopora meandrina
PV_26,control,7,C26,Pocillopora eydouxi
PV_27,control,7,C27,Pocillopora meandrina
PV_28,control,7,C28,Pocillopora meandrina
PV_29,control,8,C29,Pocillopora meandrina
PV_30,control,8,C30,Pocillopora eydouxi
PV_31,control,8,C31,Pocillopora meandrina
PV_32,control,8,C32,Pocillopora meandrina
PV_1,enriched,1,E1,Pocillopora meandrina
PV_10,enriched,3,E10,Pocillopora meandrina
PV_11,enriched,3,E11,Pocillopora meandrina
PV_12,enriched,3,E12,Pocillopora meandrina
PV_13,enriched,4,E13,Pocillopora meandrina
PV_14,enriched,4,E14,Pocillopora meandrina
PV_15,enriched,4,E15,Pocillopora eydouxi
PV_16,enriched,4,E16,Pocillopora meandrina
PV_2,enriched,1,E2,Pocillopora eydouxi
PV_3,enriched,1,E3,Pocillopora meandrina
PV_4,enriched,1,E4,Pocillopora eydouxi
PV_5,enriched,2,E5,Pocillopora meandrina
PV_6,enriched,2,E6,Pocillopora meandrina
PV_7,enriched,2,E7,Pocillopora meandrina
PV_8,enriched,2,E8,Pocillopora meandrina
PV_9,enriched,3,E9,Pocillopora meandrina