fragment.ID,treatment,block,sample_id
PV_26,control,7,C26
PV_30,control,8,C30
PV_15,enriched,4,E15
PV_2,enriched,1,E2
PV_4,enriched,1,E4
PV_17,control,5,C17
PV_18,control,5,C18
PV_19,control,5,C19
PV_20,control,5,C20
PV_21,control,6,C21
PV_22,control,6,C22
PV_23,control,6,C23
PV_24,control,6,C24
PV_25,control,7,C25
PV_27,control,7,C27
PV_28,control,7,C28
PV_29,control,8,C29
PV_31,control,8,C31
PV_32,control,8,C32
PV_1,enriched,1,E1
PV_10,enriched,3,E10
PV_11,enriched,3,E11
PV_12,enriched,3,E12
PV_13,enriched,4,E13
PV_14,enriched,4,E14
PV_16,enriched,4,E16
PV_3,enriched,1,E3
PV_5,enriched,2,E5
PV_6,enriched,2,E6
PV_7,enriched,2,E7
PV_8,enriched,2,E8
PV_9,enriched,3,E9